"09364: Kraftpriser i sluttbrukermarkedet, etter kontraktstype, kvartal og statistikkvariabel"

"kontraktstype";"kvartal";"Kraftpris inkl. mva (øre/kWh)"
"HUSHOLDNINGER";"2012K1";42.0
"HUSHOLDNINGER";"2012K2";31.8
"HUSHOLDNINGER";"2012K3";24.3
"HUSHOLDNINGER";"2012K4";37.1
"HUSHOLDNINGER";"2013K1";42.6
"HUSHOLDNINGER";"2013K2";42.2
"HUSHOLDNINGER";"2013K3";40.6
"HUSHOLDNINGER";"2013K4";43.4
"HUSHOLDNINGER";"2014K1";38.4
"HUSHOLDNINGER";"2014K2";32.5
"HUSHOLDNINGER";"2014K3";38.5
"HUSHOLDNINGER";"2014K4";38.7
"HUSHOLDNINGER";"2015K1";38.1
"HUSHOLDNINGER";"2015K2";31.7
"HUSHOLDNINGER";"2015K3";24.4
"HUSHOLDNINGER";"2015K4";31.6
"HUSHOLDNINGER";"2016K1";35.0
"HUSHOLDNINGER";"2016K2";35.1
"HUSHOLDNINGER";"2016K3";37.2
"HUSHOLDNINGER";"2016K4";45.8
"HUSHOLDNINGER";"2017K1";41.9
"HUSHOLDNINGER";"2017K2";40.4
"HUSHOLDNINGER";"2017K3";40.6
"HUSHOLDNINGER";"2017K4";43.8
"HUSHOLDNINGER";"2018K1";51.8
"HUSHOLDNINGER";"2018K2";54.4
"HUSHOLDNINGER";"2018K3";67.5
"HUSHOLDNINGER";"2018K4";66.9
"HUSHOLDNINGER";"2019K1";67.4
"HUSHOLDNINGER";"2019K2";55.7
"HUSHOLDNINGER";"2019K3";51.9
"HUSHOLDNINGER";"2019K4";57.2
"HUSHOLDNINGER";"2020K1";32.7
"HUSHOLDNINGER";"2020K2";18.2
"HUSHOLDNINGER";"2020K3";17.6
"HUSHOLDNINGER";"2020K4";27.1
"HUSHOLDNINGER";"2021K1";65.3
"HUSHOLDNINGER";"2021K2";62.2
"HUSHOLDNINGER";"2021K3";93.1
